year,Total,Men,Women
1948,58.84166666666667,86.58333333333333,32.666666666666664
1949,59.03333333333333,86.59166666666665,33.199999999999996
1950,59.166666666666664,86.25,33.824999999999996
1951,59.28333333333333,86.48333333333333,34.641666666666666
1952,59.05833333333334,86.25833333333333,34.71666666666667
1953,58.88333333333333,86.00833333333333,34.458333333333336
1954,58.78333333333333,85.61666666666667,34.56666666666667
1955,59.225,85.3,35.625
1956,59.96666666666667,85.51666666666667,36.84166666666667
1957,59.625,84.79166666666667,36.85
1958,59.49166666666667,84.3,37.05
1959,59.275,83.73333333333333,37.13333333333333
1960,59.416666666666664,83.38333333333334,37.75833333333333
1961,59.324999999999996,82.86666666666666,38.108333333333334
1962,58.76666666666667,82.01666666666667,37.90833333333333
1963,58.65833333333333,81.34166666666667,38.291666666666664
1964,58.71666666666667,81.0,38.708333333333336
1965,58.833333333333336,80.68333333333334,39.24166666666667
1966,59.15,80.39999999999999,40.25833333333333
1967,59.56666666666666,80.425,41.11666666666667
1968,59.625,80.075,41.608333333333334
1969,60.074999999999996,79.825,42.699999999999996
1970,60.38333333333333,79.7,43.35
1971,60.15833333333333,79.125,43.35833333333333
1972,60.38333333333333,78.91666666666667,43.88333333333333
1973,60.775,78.8,44.73333333333333
1974,61.275,78.73333333333333,45.666666666666664
1975,61.23333333333333,77.88333333333334,46.35
1976,61.583333333333336,77.50833333333334,47.300000000000004
1977,62.23333333333333,77.64166666666667,48.43333333333334
1978,63.15,77.83333333333333,49.958333333333336
1979,63.65,77.825,50.94166666666666
1980,63.775,77.45833333333333,51.475
1981,63.875,76.98333333333333,52.11666666666667
1982,63.99166666666667,76.64999999999999,52.63333333333333
1983,64.00833333333333,76.34166666666667,52.90833333333333
1984,64.36666666666666,76.33333333333333,53.56666666666666
1985,64.80833333333334,76.25,54.458333333333336
1986,65.24166666666666,76.24166666666666,55.300000000000004
1987,65.575,76.175,55.99166666666667
1988,65.90833333333333,76.16666666666667,56.59166666666667
1989,66.44166666666666,76.40833333333333,57.4
1990,66.53333333333333,76.375,57.525
1991,66.16666666666667,75.77499999999999,57.39166666666667
1992,66.44166666666666,75.81666666666666,57.833333333333336
1993,66.3,75.425,57.93333333333334
1994,66.575,75.02499999999999,58.791666666666664
1995,66.625,74.99166666666666,58.949999999999996
1996,66.76666666666667,74.925,59.275
1997,67.10833333333333,74.97500000000001,59.80833333333334
1998,67.08333333333333,74.875,59.85
1999,67.08333333333333,74.71666666666667,60.041666666666664
2000,67.06666666666666,74.8,59.94166666666666
2001,66.83333333333333,74.48333333333333,59.791666666666664
2002,66.58333333333333,74.09166666666667,59.61666666666667
2003,66.24166666666666,73.50833333333334,59.49166666666667
2004,65.98333333333333,73.30833333333334,59.15
2005,66.03333333333333,73.29166666666667,59.23333333333333
2006,66.16666666666667,73.45,59.35833333333333
2007,66.03333333333333,73.23333333333333,59.300000000000004
2008,66.02499999999999,72.96666666666667,59.48333333333333
2009,65.39999999999999,71.96666666666667,59.208333333333336
2010,64.70833333333333,71.175,58.625
2011,64.10833333333333,70.45833333333333,58.11666666666667
2012,63.699999999999996,70.15833333333333,57.675000000000004
2013,63.25833333333333,69.73333333333333,57.199999999999996
2014,62.88333333333333,69.20833333333333,56.98333333333333
2015,62.65833333333333,69.05,56.699999999999996
2016,62.800000000000004,69.175,56.791666666666664
2017,62.85,69.08333333333333,57.041666666666664
2018,62.88333333333333,69.05,57.09166666666667
2019,63.1,69.14999999999999,57.43333333333334
2020,61.74166666666667,67.66666666666667,56.208333333333336
2021,61.675000000000004,67.60000000000001,56.083333333333336
2022,62.23333333333333,67.95833333333333,56.775
2023,62.60833333333333,68.10833333333333,57.324999999999996
2024,62.59166666666667,67.95833333333333,57.5
2025,62.43636363636363,67.80909090909091,57.3
