date,Total,Men,Women
1948-01-01,58.6,86.7,32.0
1948-02-01,58.9,87.0,32.4
1948-03-01,58.5,86.3,32.1
1948-04-01,59.0,86.6,33.0
1948-05-01,58.3,86.1,32.0
1948-06-01,59.2,86.6,33.4
1948-07-01,59.3,86.7,33.4
1948-08-01,58.9,86.7,32.7
1948-09-01,58.9,86.3,33.0
1948-10-01,58.7,86.6,32.4
1948-11-01,58.7,86.5,32.6
1948-12-01,59.1,86.9,33.0
1949-01-01,58.7,86.5,32.6
1949-02-01,59.0,86.6,33.0
1949-03-01,58.9,86.5,33.0
1949-04-01,58.8,86.6,32.8
1949-05-01,59.0,86.6,33.1
1949-06-01,58.6,86.2,32.8
1949-07-01,58.9,86.1,33.4
1949-08-01,59.2,86.6,33.5
1949-09-01,59.1,86.6,33.4
1949-10-01,59.6,87.4,33.6
1949-11-01,59.4,86.8,33.7
1949-12-01,59.2,86.6,33.5
1950-01-01,58.9,86.2,33.4
1950-02-01,58.9,86.1,33.4
1950-03-01,58.8,85.9,33.2
1950-04-01,59.2,86.2,33.9
1950-05-01,59.1,86.3,33.6
1950-06-01,59.4,86.2,34.2
1950-07-01,59.1,86.1,33.7
1950-08-01,59.5,86.5,34.1
1950-09-01,59.2,86.5,33.7
1950-10-01,59.4,86.4,34.3
1950-11-01,59.3,86.3,34.4
1950-12-01,59.2,86.3,34.0
1951-01-01,59.1,86.0,34.3
1951-02-01,59.1,86.3,34.2
1951-03-01,59.8,86.9,35.0
1951-04-01,59.1,86.3,34.4
1951-05-01,59.4,86.6,34.7
1951-06-01,59.0,86.4,34.2
1951-07-01,59.4,86.3,35.2
1951-08-01,59.2,86.5,34.7
1951-09-01,59.1,86.4,34.4
1951-10-01,59.4,86.8,34.8
1951-11-01,59.2,86.5,34.7
1951-12-01,59.6,86.8,35.1
1952-01-01,59.5,86.8,35.0
1952-02-01,59.5,87.0,34.9
1952-03-01,58.9,86.5,34.1
1952-04-01,58.8,86.3,34.3
1952-05-01,59.1,86.4,34.7
1952-06-01,59.1,86.4,34.6
1952-07-01,58.9,86.3,34.4
1952-08-01,58.7,85.9,34.4
1952-09-01,59.2,85.9,35.4
1952-10-01,58.7,85.6,34.6
1952-11-01,59.1,85.6,35.4
1952-12-01,59.2,86.4,34.8
1953-01-01,59.5,86.5,35.1
1953-02-01,59.5,86.8,34.9
1953-03-01,59.6,86.8,35.2
1953-04-01,59.1,86.3,34.6
1953-05-01,58.6,85.8,34.0
1953-06-01,58.9,85.8,34.7
1953-07-01,58.9,85.9,34.6
1953-08-01,58.6,85.7,34.2
1953-09-01,58.5,85.4,34.3
1953-10-01,58.5,85.4,34.4
1953-11-01,58.6,85.9,33.9
1953-12-01,58.3,85.8,33.6
1954-01-01,58.6,85.8,33.9
1954-02-01,59.3,86.2,35.0
1954-03-01,59.1,85.6,35.1
1954-04-01,59.2,86.0,35.0
1954-05-01,58.9,85.7,34.6
1954-06-01,58.5,85.3,34.4
1954-07-01,58.4,85.4,34.1
1954-08-01,58.7,85.9,34.3
1954-09-01,59.2,86.0,34.9
1954-10-01,58.8,85.5,34.8
1954-11-01,58.6,85.2,34.6
1954-12-01,58.1,84.8,34.1
1955-01-01,58.6,85.0,34.7
1955-02-01,58.4,84.8,34.5
1955-03-01,58.5,85.0,34.5
1955-04-01,59.0,85.2,35.3
1955-05-01,58.8,85.1,35.0
1955-06-01,58.8,84.8,35.2
1955-07-01,59.3,85.3,35.8
1955-08-01,59.7,85.4,36.4
1955-09-01,59.7,85.6,36.2
1955-10-01,59.8,85.7,36.4
1955-11-01,59.9,85.8,36.5
1955-12-01,60.2,85.9,37.0
1956-01-01,60.2,86.1,36.7
1956-02-01,59.9,85.9,36.3
1956-03-01,59.8,85.8,36.4
1956-04-01,59.9,85.6,36.6
1956-05-01,60.2,85.8,37.1
1956-06-01,60.1,85.7,37.0
1956-07-01,60.1,85.5,37.2
1956-08-01,60.0,85.4,37.0
1956-09-01,60.0,85.2,37.1
1956-10-01,59.8,85.0,36.9
1956-11-01,59.8,85.2,36.9
